Müşteri Bilgisi, Sipariş, Notlar, Tarih-Saat, Tutar, TC Kimlik Numarası, Kart Numarası, Şifre
baris atasoy,"Margarita Pizza, Mantar, Et, Soğan, Mısır, Ketçap, Limonata",Deneme,2023-03-09 12:39:25,175,11111111110,3456789009875432,0000
Baris Atasoy,"Türk Pizza, Mantar, Keçi Peyniri, Et, Soğan, Mısır, Ketçap, Hardal, Limonata",Odeme ekrani veri silme denemesi,2023-03-09 12:43:54,226,22222222220,0,0000
Baris Atasoy,"Türk Pizza, Keçi Peyniri, Et, Soğan, Acı Sos, Ayran, Margarita Pizza, Zeytin, Mantar, Keçi Peyniri, Et, Soğan, Mısır, Ketçap, Kola","Sut ictim dilim yandi, amanin amaninnn",2023-03-09 12:46:47,364,77777777770,0000000000000000,0000
Baris Atasoy,"Türk Pizza, Zeytin, Keçi Peyniri, Et, Soğan, Acı Sos, Ayran, Klasik Pizza, , Ketçap, Kola, Fanta, Gazoz","Try 1, Try 2",2023-03-09 13:04:52,276,33333333330,1234098765473892,0065
the atasoy,"Klasik Pizza, , Ketçap, ",try 3,2023-03-09 13:05:58,36,99999999990,6666666666666666,5555
ata soy,"Klasik Pizza, , Ketçap, ",try 4,2023-03-09 13:08:30,36,55555555550,5678765400000000,0000
Ali ,"Domino's Pizza, Mısır, Hardal, Kola",dfgsdg,2023-03-09 20:47:43,66,31198671208,1111555544448888,4444
Ali,"Domino's Pizza, Et, Hardal, Kola",asdfasdf,2023-03-09 20:50:52,86,31198671208,1111222244448888,8888
Ali,"Margarita Pizza, Keçi Peyniri, BBQ Sos, Kola",kjlk,2023-03-09 20:56:04,71,31198671208,5555444488886666,6666
hdghf,"Margarita Pizza, Mısır, Ketçap, ",,2023-03-09 21:04:17,47,31198671208,2222444488885555,6666
